,Summary,Price,Brand,Condition,Category,Site
214,"sold  sep 15, 2019reformation reformed floral print maxi dress urban outfitters",18.69,Reformation,PreOwned,dresses,eBay
215,"sold  sep 15, 2019reformation silk dress",111.99,Reformation,PreOwned,dresses,eBay
216,"sold  sep 15, 2019reformation navy slub wrap crop top s 8",10.59,Reformation,PreOwned,tops,eBay
217,"sold  sep 15, 2019reformation super high waisted black slim trousers size 8",23.67,Reformation,PreOwned,other,eBay
218,"sold  sep 15, 2019reformation black red hibiscus 🌺 tropical floral wrap midi dress deep v s small",119.99,Reformation,PreOwned,dresses,eBay
219,"sold  sep 14, 2019reformation gray womens knit turtleneck sweater size medium",35.00,Reformation,PreOwned,outerwear,eBay
220,"sold  sep 14, 2019alternative reformation barneys new york womens sweater blouses size small lot 3",29.99,Reformation,PreOwned,outerwear,eBay
221,"sold  sep 14, 2019reformation siesta dress red small polka dot  midi smocked ",150.00,Reformation,PreOwned,dresses,eBay
222,"sold  sep 14, 2019levis get into trouble reformation redone jean denim",30.00,Reformation,PreOwned,other,eBay
223,"sold  sep 14, 2019reformation robinson dress us4 uk8 ",24.91,Reformation,PreOwned,dresses,eBay
224,"sold  sep 14, 2019levis x reformation vintage denim jeans 501 31” distressed damaged",100.00,Reformation,PreOwned,bottoms,eBay
225,"sold  sep 14, 2019reformation floral mini dress with open back size s small black green",44.00,Reformation,PreOwned,dresses,eBay
226,"sold  sep 13, 2019reformation black silk tank top size small",19.00,Reformation,PreOwned,tops,eBay
227,"sold  sep 13, 2019reformation pink daisey dress 0 nwt",19.00,Reformation,PreOwned,dresses,eBay
228,"sold  sep 13, 2019reformed womens polka dot tie front v neck cropped blouse red size medium",29.99,Reformation,PreOwned,bottoms,eBay
229,"sold  sep 13, 2019reformation kat snakeskin print dress s",35.00,Reformation,PreOwned,dresses,eBay
230,"sold  sep 13, 2019$218 reformation hattie ruffle button front blue linen dress sz 4",65.00,Reformation,PreOwned,dresses,eBay
231,"sold  sep 13, 2019reformation love your mother white t-shirt top tee sz m",25.88,Reformation,PreOwned,tops,eBay
232,"sold  sep 13, 2019reformation nikita dress size 2 secret garden print",225.00,Reformation,PreOwned,dresses,eBay
233,"sold  sep 13, 2019reformation womens cream ribbed button front iris long sleeve top size m",35.99,Reformation,PreOwned,tops,eBay
234,"sold  sep 13, 2019reformation nikita blue toscana dress size 6",140.00,Reformation,PreOwned,dresses,eBay
235,"sold  sep 13, 2019reformation women's dress nude size 4 maxi ",44.99,Reformation,PreOwned,dresses,eBay
236,"sold  sep 13, 2019awesome reformation amethyst dress, m, cherries",95.00,Reformation,PreOwned,dresses,eBay
237,"sold  sep 13, 2019reformation floral dress size 0 $198",137.50,Reformation,PreOwned,dresses,eBay
238,"sold  sep 13, 2019reformation x levi’s black denim leather patch jean jacket size m medium",99.99,Reformation,PreOwned,outerwear,eBay
239,"sold  sep 13, 2019reformation christina dress size us 10/uk14 ",43.61,Reformation,PreOwned,dresses,eBay
